DocType: Quotation Item,Actual Qty,ትክክለኛ ብዛት
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py +38,"Selling must be checked, if Applicable For is selected as {0}","የሚመለከታቸው ያህል ሆኖ ተመርጧል ከሆነ መሸጥ, ምልክት መደረግ አለበት {0}"
DocType: Employee,Contact Details,የእውቅያ ዝርዝሮች
DocType: Packing Slip,Gross Weight UOM,ጠቅላላ ክብደት UOM
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py +142,No records found in the Invoice table,በ የደረሰኝ ሠንጠረዥ ውስጥ አልተገኘም ምንም መዝገቦች
DocType: Daily Work Summary Settings Company,Send Emails At,ላይ ኢሜይሎች ላክ
DocType: Tax Rule,Purchase Tax Template,የግብር አብነት ግዢ
DocType: Purchase Invoice,Grand Total (Company Currency),ጠቅላላ ድምር (የኩባንያ የምንዛሬ)
DocType: Purchase Receipt Item,Accepted Quantity,ተቀባይነት ብዛት
apps/erpnext/erpnext/controllers/buying_controller.py +316,Accepted + Rejected Qty must be equal to Received quantity for Item {0},ብዛት ተቀባይነት አላገኘም ተቀባይነት + ንጥል ለማግኘት የተቀበልከው ብዛት ጋር እኩል መሆን አለባቸው {0}
DocType: Quality Inspection Reading,Reading 3,3 ማንበብ
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py +109,Credit To account must be a Payable account,መለያ ወደ ብድር የሚከፈል መለያ መሆን አለበት
DocType: Account,Cash,ጥሬ ገንዘብ
DocType: Supplier,Credit Days Based On,የብድር ቀኖች ላይ የተመሠረተ
DocType: Purchase Invoice,In Words,ቃላት ውስጥ
DocType: Item,Website Warehouse,የድር ጣቢያ መጋዘን
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py +222,Against Journal Entry {0} does not have any unmatched {1} entry,ጆርናል ላይ የሚመዘገብ {0} ማንኛውም ያላገኘውን {1} ግቤት የለውም
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +53,Television,ቴሌቪዥን
apps/erpnext/erpnext/config/accounts.py +210,Define budget for a financial year.,አንድ የገንዘብ ዓመት በጀት ይግለጹ.
apps/erpnext/erpnext/projects/doctype/project/project.py +56,Expected End Date can not be less than Expected Start Date,የሚጠበቀው የማብቂያ ቀን የተጠበቀው የመጀመሪያ ቀን ያነሰ መሆን አይችልም
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py +44,Leave Type {0} cannot be allocated since it is leave without pay,ይህ ክፍያ ያለ መተው ነው ጀምሮ ዓይነት {0} ይመደባል አይችልም ይነሱ
DocType: Packing Slip,Indicates that the package is a part of this delivery (Only Draft),የጥቅል ይህን የመላኪያ (ብቻ ረቂቅ) አንድ ክፍል እንደሆነ ይጠቁማል
apps/erpnext/erpnext/utilities/doctype/address_template/address_template.py +19,Setting this Address Template as default as there is no other default,ሌላ ምንም ነባሪ የለም እንደ እንደ ነባሪ ይህን አድራሻ አብነት በማዘጋጀት ላይ
DocType: Maintenance Schedule Detail,Maintenance Schedule Detail,ጥገና ፕሮግራም ዝርዝር
apps/erpnext/erpnext/config/setup.py +15,"Set Default Values like Company, Currency, Current Fiscal Year, etc.","ወዘተ ኩባንያ, የምንዛሬ, የአሁኑ የበጀት ዓመት, እንደ አዘጋጅ ነባሪ እሴቶች"
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py +76,Paid amount + Write Off Amount can not be greater than Grand Total,የሚከፈልበት መጠን መጠን ግራንድ ጠቅላላ በላይ ሊሆን አይችልም ጠፍቷል ጻፍ; +
DocType: Salary Slip,Gross Pay + Arrear Amount +Encashment Amount - Total Deduction,ጠቅላላ ክፍያ + Arrear መጠን + Encashment መጠን - ጠቅላላ ተቀናሽ
apps/erpnext/erpnext/manufacturing/doctype/workstation/workstation.py +71,"Operation {0} longer than any available working hours in workstation {1}, break down the operation into multiple operations","ድርጊቱ {0} ከገቢር ውስጥ ማንኛውም የሚገኙ የሥራ ሰዓት በላይ {1}, በርካታ ስራዎች ወደ ቀዶ አፈርሳለሁ"
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +205,Maintenance Visit {0} must be cancelled before cancelling this Sales Order,ጥገና ይጎብኙ {0} ይህን የሽያጭ ትዕዛዝ በመሰረዝ በፊት ተሰርዟል አለበት
apps/erpnext/erpnext/selling/doctype/product_bundle/product_bundle.py +24,Parent Item {0} must not be a Stock Item,የወላጅ ንጥል {0} አንድ የአክሲዮን ንጥል መሆን የለበትም
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +90,Indirect Expenses,በተዘዋዋሪ ወጪዎች
apps/erpnext/erpnext/config/stock.py +163,Update additional costs to calculate landed cost of items,ንጥሎች አርፏል ወጪ ማስላት ተጨማሪ ወጪዎች ያዘምኑ
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +723,Purchase Return,የግዢ ተመለስ
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +31,Health Care,የጤና ጥበቃ
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js +16,New Company,አዲስ ኩባንያ
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py +87,You need to enable Shopping Cart,አንተ ወደ ግዢ ሳጥን ጨመር ማንቃት አለብዎት
apps/erpnext/erpnext/hr/doctype/process_payroll/process_payroll.js +113,Bank Transaction Reference,ባንክ የግብይት ማጣቀሻ
DocType: Stock Settings,Item Naming By,ንጥል በ መሰየምን
apps/erpnext/erpnext/config/hr.py +268,Processing Payroll,በመስራት ላይ የደመወዝ ክፍያ
apps/erpnext/erpnext/templates/generators/item.html +67,View in Cart,ጨመር ውስጥ ይመልከቱ
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.py +83,Please pull items from Delivery Note,የመላኪያ ማስታወሻ የመጡ ንጥሎችን ለመንቀል እባክዎ
DocType: Project,Gross Margin,ግዙፍ ኅዳግ
,Purchase Register,የግዢ ይመዝገቡ
apps/erpnext/erpnext/stock/dashboard/item_dashboard_list.html +25,Acutal Qty {0} / Waiting Qty {1},Acutal ብዛት {0} / መጠበቅ ብዛት {1}
DocType: Manufacturing Settings,Material Transferred for Manufacture,ቁሳዊ ማምረት ለ ተላልፈዋል
DocType: Employee Education,Class / Percentage,ክፍል / መቶኛ
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.py +35,Delivery Note {0} must not be submitted,የመላኪያ ማስታወሻ {0} መቅረብ የለበትም
DocType: Vehicle,Fleet Management,መርከቦች አስተዳደር
DocType: Purchase Receipt,Transporter Details,አጓጓዥ ዝርዝሮች
DocType: Mode of Payment Account,Default Account,ነባሪ መለያ
DocType: Purchase Order,Customer Mobile No,የደንበኛ ተንቀሳቃሽ ምንም
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +570,Already completed,ቀድሞውኑ ተጠናቋል
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.py +57,Total Variance,ጠቅላላ ልዩነት
DocType: Employee,Personal Email,የግል ኢሜይል
apps/erpnext/erpnext/stock/stock_ledger.py +426,"Purchase rate for item: {0} not found, which is required to book accounting entry (expense). Please mention item price against a buying price list.","ንጥል የግዢ መጠን: {0} አልተገኘም, የሂሳብ ግቤት (ወጪ) መያዝ ያስፈልጋል ነው. አንድ የግዢ ዋጋ ዝርዝር ላይ ንጥል ዋጋ መጥቀስ እባክህ."
DocType: Delivery Note Item,Against Sales Order,የሽያጭ ትዕዛዝ ላይ
apps/erpnext/erpnext/manufacturing/doctype/production_planning_tool/production_planning_tool.py +400,Please enter Warehouse for which Material Request will be raised,የቁስ ጥያቄ ይነሣል ለዚህም መጋዘን ያስገቡ
,Amount to Deliver,መጠን ለማዳን
DocType: Cheque Print Template,Is Account Payable,ተከፋይ መለያ ነው
DocType: Notification Control,Custom Message,ብጁ መልዕክት
apps/erpnext/erpnext/accounts/page/pos/pos.js +1626,Select items to save the invoice,ወደ መጠየቂያ ለማስቀመጥ ንጥሎችን ምረጥ
DocType: HR Settings,Employee Records to be created by,ሠራተኛ መዛግብት መፈጠር አለበት
DocType: Student,STUD.,ያሸበረቁ.
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py +362,All these items have already been invoiced,እነዚህ ሁሉ ንጥሎች ቀደም ሲል ደረሰኝ ተደርጓል
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py +131,Cost of Sold Asset,የተሸጠ ንብረት ዋጋ
apps/erpnext/erpnext/controllers/buying_controller.py +283,Row {0}: Conversion Factor is mandatory,ረድፍ {0}: የልወጣ ምክንያት የግዴታ ነው
DocType: Opportunity,Opportunity From,ከ አጋጣሚ
DocType: Item Customer Detail,"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes","ደንበኞች ወደ ምቾት ሲባል, እነዚህ ኮዶች ደረሰኞች እና የመላኪያ ማስታወሻዎች እንደ የህትመት ቅርጸቶች ውስጥ ጥቅም ላይ ሊውል ይችላል"
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +199,Cannot cancel because submitted Stock Entry {0} exists,ገብቷል የክምችት Entry {0} መኖሩን ምክንያቱም ማስቀረት አይቻልም
apps/erpnext/erpnext/selling/report/sales_person_wise_transaction_summary/sales_person_wise_transaction_summary.py +43,Contribution Amount,አስተዋጽዖ መጠን
DocType: Email Digest,New Purchase Orders,አዲስ የግዢ ትዕዛዞች
apps/erpnext/erpnext/selling/doctype/customer/customer_dashboard.py +10,Pre Sales,ቅድመ ሽያጭ
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js +799,Select Item,ንጥል ምረጥ
DocType: BOM Replace Tool,BOM Replace Tool,BOM መሣሪያ ተካ
DocType: Serial No,Purchase / Manufacture Details,የግዢ / ማምረት ዝርዝሮች
apps/erpnext/erpnext/config/selling.py +36,Manage Customer Group Tree.,የደንበኛ ቡድን ዛፍ ያቀናብሩ.
DocType: Supplier,Address HTML,አድራሻ ኤችቲኤምኤል
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +203,Stock Entries already created for Production Order ,ቀደም ሲል የምርት ትዕዛዝ የተፈጠሩ ስቶክ ግቤቶችን
apps/erpnext/erpnext/config/buying.py +28,Purchase Orders given to Suppliers.,የግዢ ትዕዛዞች አቅራቢዎች የተሰጠው.
apps/erpnext/erpnext/stock/doctype/item/item.py +487,Row #{0}: Please set reorder quantity,የረድፍ # {0}: ዳግምስርዓትአስይዝ ብዛት ማዘጋጀት እባክዎ
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py +173,No active or default Salary Structure found for employee {0} for the given dates,ለተሰጠው ቀናት ሠራተኛ {0} አልተገኘም ምንም ንቁ ወይም ነባሪ ደመወዝ መዋቅር
apps/erpnext/erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py +42,Avg Daily Outgoing,አማካኝ ዕለታዊ የወጪ
DocType: Sales Person,Parent Sales Person,የወላጅ ሽያጭ ሰው
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +20,All Item Groups,ሁሉም ንጥል ቡድኖች
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js +368,Preview Salary Slip,ቅድመ-የቀጣሪ
DocType: Warehouse,Account for the warehouse (Perpetual Inventory) will be created under this Account.,ወደ መጋዘን (ለተመራ ቆጠራ) መለያ በዚህ መለያ ስር ይፈጠራል.
DocType: Payment Request,Amount in customer's currency,ደንበኛ ምንዛሬ መጠን
DocType: Customer,CUST-,CUST-
apps/erpnext/erpnext/hr/doctype/employee/employee.py +113,Relieving Date must be greater than Date of Joining,ቀን የሚያስታግሱ በመቀላቀል ቀን የበለጠ መሆን አለበት
DocType: Shopping Cart Shipping Rule,Shopping Cart Shipping Rule,ወደ ግዢ ሳጥን ጨመር መላኪያ ደንብ
apps/erpnext/erpnext/manufacturing/doctype/production_planning_tool/production_planning_tool.py +163,Please enter Material Requests in the above table,ከላይ በሰንጠረዡ ውስጥ ቁሳዊ ጥያቄዎች ያስገቡ
apps/erpnext/erpnext/config/hr.py +40,Applicant for a Job.,ሥራ አመልካች
DocType: Attendance,Leave Type,ፈቃድ አይነት
DocType: Attendance,Present,ስጦታ
apps/erpnext/erpnext/accounts/doctype/asset/asset.py +42,Item {0} must be a Fixed Asset Item,ንጥል {0} አንድ ቋሚ የንብረት ንጥል መሆን አለበት
apps/erpnext/erpnext/hr/doctype/upload_attendance/upload_attendance.py +87,Please setup numbering series for Attendance via Setup &gt; Numbering Series,ማዋቀር የቁጥር ተከታታይ&gt; Setup በኩል ክትትል ለማግኘት ተከታታይ ቁጥር እባክህ
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py +183,Totals,ድምሮች
DocType: Production Order Operation,"in Minutes
Updated via 'Time Log'",ደቂቃዎች ውስጥ «ጊዜ Log&quot; በኩል ዘምኗል
apps/erpnext/erpnext/stock/doctype/item/item.py +45,Item Code is mandatory because Item is not automatically numbered,"ንጥል በራስ-ሰር ቁጥር አይደለም, ምክንያቱም ንጥል ኮድ የግዴታ ነው"
DocType: Cheque Print Template,Cheque Width,ቼክ ስፋት
DocType: Leave Application,Reason,ምክንያት
DocType: Bin,Reserved Quantity,የተያዘ ብዛት
DocType: Student Log,Achievement,ስኬት
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py +401,Item Code required at Row No {0},ንጥል ኮድ ረድፍ ምንም ያስፈልጋል {0}
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +96,Researcher,ተመራማሪ
apps/erpnext/erpnext/crm/doctype/lead/lead.py +41,Lead Owner cannot be same as the Lead,በእርሳስ ባለቤቱ ግንባር ጋር ተመሳሳይ ሊሆን አይችልም
DocType: Bin,Actual Quantity,ትክክለኛ ብዛት
apps/erpnext/erpnext/utilities/bot.py +34,[{0}](#Form/Item/{0}) is out of stock,[{0}] (# ፎርም / ንጥል / {0}) የአክሲዮን ውጭ ነው
DocType: Bin,Requested Quantity,ጠይቀዋል ብዛት
DocType: Request for Quotation Supplier,Request for Quotation Supplier,ትዕምርተ አቅራቢ ጥያቄ
DocType: GL Entry,Is Opening,በመክፈት ላይ ነው
DocType: Sales Order,To Deliver and Bill,አድርስ እና ቢል
DocType: Purchase Invoice Item,Received Qty,ተቀብሏል ብዛት
DocType: Attendance,Employee Name,የሰራተኛ ስም
DocType: Company,Company Info,የኩባንያ መረጃ
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js +49,Customer &gt; Customer Group &gt; Territory,የደንበኛ&gt; የደንበኛ ቡድን&gt; ግዛት
DocType: Opportunity,Maintenance,ጥገና
DocType: Account,Root Type,ስርወ አይነት
DocType: Journal Entry,Credit Card Entry,ክሬዲት ካርድ Entry
apps/erpnext/erpnext/public/js/queries.js +39,Please specify a,አንድ እባክዎን ይግለጹ
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py +216,Maintenance Schedule is not generated for all the items. Please click on 'Generate Schedule',ጥገና ፕሮግራም ሁሉም ንጥሎች የመነጨ አይደለም. &#39;አመንጭ ፕሮግራም »ላይ ጠቅ ያድርጉ
DocType: Purchase Invoice Item,Is Fixed Asset,ቋሚ ንብረት ነው
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py +53,Balance Value,ቀሪ ዋጋ
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +12,Debtors,ተበዳሪዎች
DocType: Purchase Invoice,Apply Additional Discount On,ተጨማሪ የቅናሽ ላይ ተግብር
apps/erpnext/erpnext/config/stock.py +190,"Attributes for Item Variants. e.g Size, Color etc.","ንጥል አይነቶች ለ ባህርያት. ለምሳሌ መጠን, ቀለም ወዘተ"
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py +98,Total allocated leaves {0} cannot be less than already approved leaves {1} for the period,ጠቅላላ የተመደበ ቅጠሎች {0} ያነሰ ሊሆን አይችልም ጊዜ ቀድሞውኑ ጸድቀዋል ቅጠሎች {1} ከ
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py +22,Evaluation,ግምገማ
,BOM Browser,BOM አሳሽ
DocType: Attendance,Attendance Date,በስብሰባው ቀን
apps/erpnext/erpnext/config/hr.py +29,Upload attendance from a .csv file,አንድ .csv ፋይል መገኘትን ይስቀሉ
DocType: Purchase Invoice Item,BOM,BOM
DocType: Purchase Invoice,Currency and Price List,ገንዘብና ዋጋ ዝርዝር
DocType: Timesheet,Payslip,Payslip
DocType: Employee,Marital Status,የጋብቻ ሁኔታ
apps/erpnext/erpnext/accounts/utils.py +42,{0} {1} not in any active Fiscal Year. For more details check {2}.,{0} {1} እንጂ ማንኛውም ገባሪ በጀት ዓመት ውስጥ. ተጨማሪ ዝርዝሮችን ይመልከቱ ለማግኘት {2}.
DocType: Production Planning Tool,Material Requirement,ቁሳዊ ተፈላጊ
DocType: Material Request,Terms and Conditions Content,ውል እና ሁኔታዎች ይዘት
DocType: Purchase Invoice,Taxes and Charges Deducted (Company Currency),ግብሮች እና ክፍያዎች ተቀናሽ (የኩባንያ የምንዛሬ)
,Maintenance Schedules,ጥገና ፕሮግራም
apps/erpnext/erpnext/config/hr.py +87,Block leave applications by department.,መምሪያ አግድ ፈቃድ መተግበሪያዎች.
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py +40,Discount must be less than 100,ቅናሽ ከ 100 መሆን አለበት
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +51,Technology,ቴክኖሎጂ
apps/erpnext/erpnext/schools/api.py +66,Attendance has been marked successfully.,በስብሰባው ላይ በተሳካ ሁኔታ ምልክት ተደርጎበታል.
apps/erpnext/erpnext/schools/doctype/fees/fees.js +41,Collect,ይሰብስቡ
DocType: Delivery Note,Customer's Purchase Order No,ደንበኛ የግዢ ትዕዛዝ ምንም
DocType: Fiscal Year,Year End Date,ዓመት መጨረሻ ቀን
DocType: Assessment,Assessment Group,ግምገማ ቡድን
DocType: Item,Lead Time in days,ቀናት ውስጥ በእርሳስ ሰዓት
apps/erpnext/erpnext/selling/doctype/customer/customer.py +138,New credit limit is less than current outstanding amount for the customer. Credit limit has to be atleast {0},አዲስ የክሬዲት ገደብ ለደንበኛው ከአሁኑ የላቀ መጠን ያነሰ ነው. የክሬዲት ገደብ ላይ ቢያንስ መሆን አለበት {0}
DocType: Program,Program Name,የፕሮግራም ስም
DocType: Purchase Invoice,Is Paid,የሚከፈልበት ነው
apps/erpnext/erpnext/config/manufacturing.py +57,Where manufacturing operations are carried.,"ባለማምረታቸው, ቀዶ የት ተሸክመው ነው."
DocType: Item Tax,Tax Rate,የግብር ተመን
apps/erpnext/erpnext/accounts/doctype/asset/depreciation.py +128,Asset scrapped via Journal Entry {0},ጆርናል Entry በኩል በመዛጉ ንብረት {0}
apps/erpnext/erpnext/config/hr.py +98,Monthly salary statement.,ወርሃዊ ደመወዝ መግለጫ.
apps/erpnext/erpnext/hr/doctype/appraisal/appraisal.py +39,Appraisal {0} created for Employee {1} in the given date range,ግምገማ {0} {1} በተሰጠው ቀን ክልል ውስጥ የሰራተኛ የተፈጠሩ
DocType: Sales Invoice,Debit To,ወደ ዴቢት
apps/erpnext/erpnext/schools/doctype/course_scheduling_tool/course_scheduling_tool.py +51,There were errors while scheduling course on :,ላይ እርግጥ ነው መርሐግብር ላይ ሳለ ስህተቶች ነበሩ:
apps/erpnext/erpnext/config/accounts.py +262,Enable / disable currencies.,/ አቦዝን ምንዛሬዎች ያንቁ.
DocType: Buying Settings,Maintain same rate throughout purchase cycle,የግዢ ዑደት ውስጥ ተመሳሳይ መጠን ይኑራችሁ
DocType: Appraisal,HR User,የሰው ሀይል ተጠቃሚ
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +522,Stock Entry {0} is not submitted,የክምችት Entry {0} ማቅረብ አይደለም
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** ወርሃዊ ስርጭት ** የእርስዎን ንግድ ውስጥ ወቅታዊ ቢኖራችሁ ወራት በመላ በጀት / ዒላማ ለማሰራጨት ይረዳል.
DocType: Maintenance Visit Purpose,Maintenance Visit Purpose,ጥገና ይጎብኙ ዓላማ
DocType: Opportunity,Opportunity Date,አጋጣሚ ቀን
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py +147,"Item: {0} managed batch-wise, can not be reconciled using \
					Stock Reconciliation, instead use Stock Entry","ንጥል: {0} ስብስብ-ጥበብ, ይልቁንስ ለመጠቀም ከወሰደው የሚመዘገብ \ የአክሲዮን ማስታረቅ በመጠቀም ታረቅ አይችልም የሚተዳደር"
apps/erpnext/erpnext/fleet_management/report/vehicle_expenses/vehicle_expenses.py +25,Service Expense,የአገልግሎት የወጪ
DocType: Activity Cost,Activity Type,የእንቅስቃሴ አይነት
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.py +121,Row {0}: Completed Qty cannot be more than {1} for operation {2},ረድፍ {0}: ተጠናቋል ብዛት በላይ ሊሆን አይችልም {1} ክወና {2}
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html +19,Invoiced Amount,በደረሰኝ የተቀመጠው መጠን
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py +27,Global POS Profile {0} already created for company {1},ቀደም ሲል ኩባንያ የተፈጠሩ የአለም POS መገለጫ {0} {1}
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +152,Secured Loans,ደህንነቱ የተጠበቀ ብድሮች
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +18,Consulting,ማማከር
DocType: Purchase Invoice,Supplier Warehouse,አቅራቢው መጋዘን
DocType: Purchase Order Item,Supplier Part Number,አቅራቢው ክፍል ቁጥር
DocType: Item,Items with higher weightage will be shown higher,ከፍተኛ weightage ጋር ንጥሎች ከፍተኛ ይታያል
DocType: Account,Warehouse,የዕቃ ቤት
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py +22,Net Change in Accounts Payable,ተከፋይ መለያዎች ውስጥ የተጣራ ለውጥ
DocType: Sales Invoice Item,Delivery Note Item,የመላኪያ ማስታወሻ ንጥል
DocType: Serial No,Creation Time,የፍጥረት ሰዓት
apps/erpnext/erpnext/hooks.py +110,Announcements,ማስታወቂያዎችን
DocType: Task,Urgent,አስቸኳይ
DocType: Selling Settings,Campaign Naming By,በ የዘመቻ አሰያየም
DocType: Salary Slip,Bank Account No.,የባንክ ሂሳብ ቁጥር
DocType: Purchase Receipt,Add / Edit Taxes and Charges,/ አርትዕ ግብሮች እና ክፍያዎች ያክሉ
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +351,{0} against Sales Order {1},{0} የሽያጭ ትዕዛዝ ላይ {1}
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +470,Default BOM for {0} not found,{0} አልተገኘም ነባሪ BOM
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js +18,Discount Percentage can be applied either against a Price List or for all Price List.,የቅናሽ መቶኛ አንድ ዋጋ ዝርዝር ላይ ወይም ሁሉንም የዋጋ ዝርዝር ለማግኘት ወይም ተግባራዊ ሊሆኑ ይችላሉ.
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py +29,Please select weekly off day,ሳምንታዊ ጠፍቷል ቀን ይምረጡ
apps/erpnext/erpnext/public/js/setup_wizard.js +205,Accountant,ሒሳብ ሠራተኛ
apps/erpnext/erpnext/config/accounts.py +27,Bank/Cash transactions against party or for internal transfer,ፓርቲ ላይ ወይም የውስጥ ለማስተላለፍ ባንክ / ጥሬ ገንዘብ ግብይቶች
DocType: Monthly Distribution Percentage,Monthly Distribution Percentage,ወርሃዊ ስርጭት መቶኛ
DocType: Workstation,per hour,በ ሰዓት
apps/erpnext/erpnext/controllers/buying_controller.py +289,Row #{0}: Rejected Qty can not be entered in Purchase Return,የረድፍ # {0}: ብዛት ግዢ መመለስ ውስጥ ገብቶ ሊሆን አይችልም ተቀባይነት አላገኘም
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +101,Marketing Expenses,የገበያ ወጪ
DocType: Item,Total Projected Qty,ጠቅላላ ፕሮጀክት ብዛት
apps/erpnext/erpnext/stock/report/batch_wise_balance_history/batch_wise_balance_history.py +36,Balance Qty,ሒሳብ ብዛት
DocType: Landed Cost Voucher,Landed Cost Help,አረፈ ወጪ እገዛ
DocType: Assessment Group,Assessment Group Code,ግምገማ ቡድን ኮድ
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py +87,Provisional Profit / Loss (Credit),ፕሮቪዥናል ትርፍ / ኪሣራ (ምንጭ)
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js +34,"Then Pricing Rules are filtered out based on Customer, Customer Group, Territory, Supplier, Supplier Type, Campaign, Sales Partner etc.","በዚያን ጊዜ የዋጋ አሰጣጥ ደንቦቹ ወዘተ የደንበኞች, የደንበኞች ቡድን, ክልል, አቅራቢው, አቅራቢው ዓይነት, ዘመቻ, የሽያጭ ባልደረባ ላይ የተመሠረቱ ውጭ ይጣራሉ"
DocType: Maintenance Visit,MV,MV
,Item Prices,ንጥል ዋጋዎች
apps/erpnext/erpnext/templates/pages/projects.html +48,Timesheets,Timesheets
DocType: Serial No,Serial No Details,ተከታታይ ምንም ዝርዝሮች
DocType: Employee,Salary Mode,ደመወዝ ሁነታ
DocType: Employee,Personal Details,የግል መረጃ
apps/erpnext/erpnext/config/accounts.py +146,Match Payments with Invoices,ደረሰኞች ጋር አዛምድ ክፍያዎች
apps/erpnext/erpnext/stock/utils.py +99,Item {0} ignored since it is not a stock item,ይህ ጀምሮ ችላ ንጥል {0} አንድ የአክሲዮን ንጥል አይደለም
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js +703,Please supply the specified items at the best possible rates,ምርጥ በተቻለ ፍጥነት በተጠቀሰው ንጥሎች አቅርብ
DocType: Delivery Note Item,From Warehouse,መጋዘን ከ
DocType: SMS Center,Send To,ወደ ላክ
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py +170,"Please select Allocated Amount, Invoice Type and Invoice Number in atleast one row","ቢያንስ አንድ ረድፍ ውስጥ የተመደበ መጠን, የደረሰኝ አይነት እና የደረሰኝ ቁጥር እባክዎ ይምረጡ"
DocType: Offer Letter Term,Value / Description,እሴት / መግለጫ
DocType: Stock Settings,Allowance Percent,በል መቶኛ
DocType: Guardian,Guardian,ሞግዚት
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.js +10,Accumulated Values,ሲጠራቀሙ እሴቶች
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +57,Full-time,ሙሉ ሰአት
apps/erpnext/erpnext/crm/doctype/lead/lead.py +44,Next Contact By cannot be same as the Lead Email id,ቀጣይ የእውቂያ በ ቀዳሚ የኢሜይል መታወቂያ ጋር ተመሳሳይ ሊሆን አይችልም
DocType: POS Item Group,Item Group,ንጥል ቡድን
DocType: Account,Stock,አክሲዮን
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py +94,Sales Order required for Item {0},ንጥል ያስፈልጋል የሽያጭ ትዕዛዝ {0}
DocType: Purchase Invoice,Taxes and Charges Added,ግብሮች እና ክፍያዎች ታክሏል
